"","PlayerName","pos","points","value"
"1","Marshawn Lynch","rb",213.36,87.3309440886025
"2","Adrian Peterson","rb",210.01,84.0390578818207
"3","Eddie Lacy","rb",209.26,83.3020684325411
"4","Jamaal Charles","rb",208.47,82.5257728793001
"5","Andrew Luck","qb",326.47,67.86754405943
"6","Demaryius Thomas","wr",137.72,64.9117250415196
"7","C.J. Anderson","rb",189.915,64.2926539041248
"8","Le'Veon Bell","rb",189.57,63.9536387574563
"9","Aaron Rodgers","qb",321.682,63.1626034152296
"10","Antonio Brown","wr",135.21,62.4452670179309
"11","Dez Bryant","wr",132.98,60.2539517220731
"12","Matt Forte","rb",185.745,60.1949925661307
"13","LeSean McCoy","rb",183.91,58.3918250468935
"14","Odell Beckham Jr.","wr",130.93,58.2395138940424
"15","DeMarco Murray","rb",182.375,56.8834533073681
"16","Jeremy Hill","rb",182.25,56.7606217324882
"17","Rob Gronkowski","te",112.21,55.2522499929628
"18","Calvin Johnson","wr",125.17,52.5794349235757
"19","Randall Cobb","wr",124.865,52.2797258808687
"20","Julio Jones","wr",118.555,46.0791879809304
"21","Russell Wilson","qb",300.048,41.9038970876122
"22","Peyton Manning","qb",297.986,39.877667428393
"23","Alshon Jeffery","wr",112.075,39.7115991391554
"24","A.J. Green","wr",111.55,39.1957065246597
"25","Mark Ingram","rb",162.255,37.1124830146963
"26","Lamar Miller","rb",162.125,36.9847381768212
"27","Drew Brees","qb",294.826,36.7724852154286
"28","Justin Forsett","rb",161.735,36.6015036631958
"29","Mike Evans","wr",107.635,35.3486215994206
"30","Jimmy Graham","te",91.755,35.1520910796128
"31","Alfred Morris","rb",158.585,33.5061479762218
"32","Emmanuel Sanders","wr",103.485,31.2706133134073
"33","T.Y. Hilton","wr",103.435,31.2214806834554
"34","Melvin Gordon","rb",152.57,27.5954925930001
"35","Carlos Hyde","rb",152.015,27.0501204005333
"36","Frank Gore","rb",150.675,25.7333659178206
"37","Matt Ryan","qb",282.788,24.9433132281929
"38","Brandin Cooks","wr",95.55,23.47326494003
"39","Latavius Murray","rb",148.11,23.2128620012846
"40","Jordan Matthews","wr",93.315,21.2770363811771
"41","Stephen Gostkowski","k",165.7,19.4738688619399
"42","Greg Olsen","te",75.315,18.9972823514058
"43","Travis Kelce","te",74.845,18.5354356298573
"44","DeAndre Hopkins","wr",90.15,18.1669409052175
"45","Julian Edelman","wr",89.445,17.4741708228948
"46","Andre Johnson","wr",88.02,16.0738908692637
"47","Martellus Bennett","te",71.435,15.1845902671331
"48","Jason Witten","te",71.415,15.1649372151523
"49","Cam Newton","qb",272.67,15.0008342311127
"50","Joseph Randle","rb",139.68,14.9291005913829
"51","DeSean Jackson","wr",86.41,14.4918201848103
"52","Justin Tucker","k",160.5,14.3640753469352
"53","Davante Adams","wr",85.49,13.5877797936941
"54","Sammy Watkins","wr",84.965,13.0718871791985
"55","Steven Hauschka","k",158.8,12.6935659285684
"56","Golden Tate","wr",83.85,11.9762295312696
"57","Jeremy Maclin","wr",83.045,11.1851941890429
"58","Keenan Allen","wr",82.7,10.8461790423743
"59","Cody Parkey","k",156.8,10.7282607304896
"60","Jonathan Stewart","rb",135.39,10.713520941504
"61","Connor Barth","k",156.7,10.6299954705857
"62","Tony Romo","qb",268.212,10.6201689445952
"63","Brandon Marshall","wr",82.355,10.5071638957058
"64","Ben Roethlisberger","qb",268,10.4118465935989
"65","Mason Crosby","k",156.4,10.3351996908739
"66","LeGarrette Blount","rb",134.745,10.0797100151236
"67","Julius Thomas","te",66.2,10.0404039111621
"68","Martavis Bryant","wr",81.55,9.71612855347907
"69","T.J. Yeldon","rb",133.595,8.9496595262284
"70","Matthew Stafford","qb",266.244,8.68630862968584
"71","Adam Vinatieri","k",154.2,8.1733639729873
"72","Dwayne Allen","te",63.56,7.44620104969816
"73","Ryan Tannehill","qb",263,5.49858359840214
"74","Zach Ertz","te",61.41,5.33349796176356
"75","Mike Wallace","wr",76.835,5.08292154900851
"76","Vincent Jackson","wr",76.805,5.05344197103734
"77","Amari Cooper","wr",76.005,4.26731989180586
"78","Matt Bryant","k",150,4.04622305702202
"79","Dan Bailey","k",149.6,3.65316201740627
"80","Andre Ellington","rb",127.88,3.33379992271847
"81","Eric Decker","wr",74.78,3.06357045798264
"82","Roddy White","wr",74.515,2.80316751923721
"83","Jarvis Landry","wr",74.34,2.63120331440533
"84","Michael Floyd","wr",74.235,2.5280247915062
"85","Chandler Catanzaro","k",148.2,2.27744837875117
"86","Steve Smith","wr",73.375,1.68294355633234
"87","Garrett Hartley","k",147.5,1.58959155942364
"88","Coby Fleener","te",57.57,1.56011198145243
"89","Nelson Agholor","wr",73.065,1.37832125063014
"90","Jordan Cameron","te",57.25,1.24566314975984
"91","Charles Johnson","wr",72.705,1.02456631497599
"92","Philip Rivers","qb",258.422,1
"93","Dan Carpenter","k",146.9,1
"94","Rashad Jennings","rb",125.505,1
"95","Allen Robinson","wr",72.68,1
"96","Antonio Gates","te",57,1
