"","PlayerName","pos","points","value"
"1","Andrew Luck","qb",397.07,100.473611212992
"2","Aaron Rodgers","qb",390.682,95.9373645794358
"3","Peyton Manning","qb",368.386,80.1045288027019
"4","Drew Brees","qb",357.226,72.1795894741968
"5","Russell Wilson","qb",349.848,66.9403240292407
"6","Marshawn Lynch","rb",213.36,63.3875936116322
"7","Adrian Peterson","rb",210.01,61.0086915730576
"8","Eddie Lacy","rb",209.26,60.4761015644215
"9","Matt Ryan","qb",340.388,60.2225887203107
"10","Jamaal Charles","rb",208.47,59.9151067553248
"11","Tony Romo","qb",332.012,54.2746235038628
"12","Ben Roethlisberger","qb",325,49.2952619831211
"13","Demaryius Thomas","wr",137.72,47.1862055489222
"14","C.J. Anderson","rb",189.915,46.7388299416678
"15","Le'Veon Bell","rb",189.57,46.4938385376952
"16","Matthew Stafford","qb",320.244,45.9179312083568
"17","Antonio Brown","wr",135.21,45.40380432002
"18","Dez Bryant","wr",132.98,43.820236694342
"19","Matt Forte","rb",185.745,43.7776294936511
"20","Cam Newton","qb",316.07,42.953890280294
"21","Philip Rivers","qb",315.622,42.6357565151354
"22","LeSean McCoy","rb",183.91,42.4745592725215
"23","Odell Beckham Jr.","wr",130.93,42.3644906707367
"24","Ryan Tannehill","qb",314.6,41.9100138633673
"25","DeMarco Murray","rb",182.375,41.3845250548463
"26","Jeremy Hill","rb",182.25,41.2957600534069
"27","Rob Gronkowski","te",112.21,40.2057258357317
"28","Eli Manning","qb",309.6,38.3594138057932
"29","Calvin Johnson","wr",125.17,38.2741994044115
"30","Randall Cobb","wr",124.865,38.0576128008995
"31","Julio Jones","wr",118.555,33.5767555282412
"32","Alshon Jeffery","wr",112.075,28.9751778536253
"33","A.J. Green","wr",111.55,28.60236484758
"34","Joe Flacco","qb",295.562,28.3907490841486
"35","Mark Ingram","rb",162.255,27.0969104231686
"36","Lamar Miller","rb",162.125,27.0045948216717
"37","Jay Cutler","qb",293.258,26.7546325776185
"38","Justin Forsett","rb",161.735,26.727648017181
"39","Mike Evans","wr",107.635,25.8222450024996
"40","Jimmy Graham","te",91.755,25.6802210001966
"41","Alfred Morris","rb",158.585,24.4907699809093
"42","Colin Kaepernick","qb",287.986,23.0108798769125
"43","Emmanuel Sanders","wr",103.485,22.8752469547132
"44","T.Y. Hilton","wr",103.435,22.8397409541375
"45","Melvin Gordon","rb",152.57,20.2193981116479
"46","Teddy Bridgewater","qb",283.806,20.0425782287807
"47","Carlos Hyde","rb",152.015,19.8252815052572
"48","Frank Gore","rb",150.675,18.8737206898274
"49","Carson Palmer","qb",281.152,18.1579197182204
"50","Sam Bradford","qb",281.064,18.0954291572071
"51","Brandin Cooks","wr",95.55,17.2404446633433
"52","Latavius Murray","rb",148.11,17.0522628602919
"53","Jordan Matthews","wr",93.315,15.6533264376078
"54","Greg Olsen","te",75.315,14.0058480108934
"55","Travis Kelce","te",74.845,13.6720916054815
"56","DeAndre Hopkins","wr",90.15,13.4057966011634
"57","Julian Edelman","wr",89.445,12.9051619930455
"58","Alex Smith","qb",272.484,12.0025994584102
"59","Andre Johnson","wr",88.02,11.8932409766369
"60","Martellus Bennett","te",71.435,11.250582366216
"61","Jason Witten","te",71.415,11.2363799659858
"62","Joseph Randle","rb",139.68,11.0659511632222
"63","DeSean Jackson","wr",86.41,10.7499477580981
"64","Davante Adams","wr",85.49,10.0966373475045
"65","Sammy Watkins","wr",84.965,9.72382434145923
"66","Golden Tate","wr",83.85,8.93204052862024
"67","Jeremy Maclin","wr",83.045,8.36039391935083
"68","Keenan Allen","wr",82.7,8.11540251537823
"69","Jonathan Stewart","rb",135.39,8.01953631382374
"70","Brandon Marshall","wr",82.355,7.87041111140562
"71","LeGarrette Blount","rb",134.745,7.56150890639669
"72","Julius Thomas","te",66.2,7.5331041059361
"73","Martavis Bryant","wr",81.55,7.29876450213621
"74","Andy Dalton","qb",265.772,7.2362739411229
"75","T.J. Yeldon","rb",133.595,6.74487089315469
"76","Tom Brady","qb",263.576,5.67685039583644
"77","Dwayne Allen","te",63.56,5.65838727553704
"78","Zach Ertz","te",61.41,4.13162925078024
"79","Mike Wallace","wr",76.835,3.95054864784396
"80","Vincent Jackson","wr",76.805,3.92924504749852
"81","Amari Cooper","wr",76.005,3.36114903828669
"82","Andre Ellington","rb",127.88,2.68653502734763
"83","Eric Decker","wr",74.78,2.49125202418106
"84","Roddy White","wr",74.515,2.30307022112964
"85","Jarvis Landry","wr",74.34,2.17879921911455
"86","Michael Floyd","wr",74.235,2.10423661790551
"87","Steve Smith","wr",73.375,1.49353340800278
"88","Coby Fleener","te",57.57,1.40476840656343
"89","Nelson Agholor","wr",73.065,1.27339620443319
"90","Jordan Cameron","te",57.25,1.1775300028787
"91","Charles Johnson","wr",72.705,1.01775300028787
"92","Marcus Mariota","qb",256.994,1.00284048004607
"93","Jameis Winston","qb",256.99,1
"94","Rashad Jennings","rb",125.505,1
"95","Allen Robinson","wr",72.68,1
"96","Antonio Gates","te",57,1
